Feature,Coefficient,Abs_Coefficient
AttMap_L0_H6_0,0.16980954988143457,0.16980954988143457
AttMap_L0_H11_0,0.16730783482338185,0.16730783482338185
AttMap_L3_H8_50,-0.16702980258303443,0.16702980258303443
GAM_L0_H11_confidence_max,0.15569959578107498,0.15569959578107498
AttMap_L0_H11_50,-0.14944361070982087,0.14944361070982087
AttMap_L0_H7_50,-0.14874192411371678,0.14874192411371678
AttMap_L10_H7_50,-0.14556412667014834,0.14556412667014834
AttMap_L6_H11_50,-0.14536414049771776,0.14536414049771776
AttMap_L0_H8_0,0.13877188829334006,0.13877188829334006
Spec_L9_H7_semantics,0.13785014688404512,0.13785014688404512
GAM_L0_H8_confidence_max,0.1373719534637737,0.1373719534637737
AttMap_L0_H6_1,-0.1369130112551303,0.1369130112551303
AttMap_L0_H11_1,-0.13595052892563703,0.13595052892563703
AttMap_L3_H1_100,-0.13072029756207937,0.13072029756207937
AttMap_L7_H4_101,0.13029759409538788,0.13029759409538788
AttMap_L1_H11_51,0.12963771801006402,0.12963771801006402
AttMap_L3_H2_51,-0.12939109695038958,0.12939109695038958
AttMap_L1_H10_50,-0.12716570252141685,0.12716570252141685
AttMap_L0_H6_51,0.12667273572876245,0.12667273572876245
Spec_L10_H10_self,0.12412358931698209,0.12412358931698209
AttMap_L7_H11_101,0.1223057750524704,0.1223057750524704
AttMap_L0_H9_50,-0.12107619284691139,0.12107619284691139
AttMap_L3_H11_50,0.12009386221210347,0.12009386221210347
AttMap_L1_H0_102,0.11957754757516809,0.11957754757516809
GAM_L11_H4_sparsity,-0.11693890928915666,0.11693890928915666
GAM_L11_H0_sparsity,0.11639742271953785,0.11639742271953785
AttMap_L3_H2_50,0.1161912203951413,0.1161912203951413
AttMap_L6_H11_101,0.11205079305367772,0.11205079305367772
GAM_L0_H6_confidence_max,0.10768897373448805,0.10768897373448805
AttMap_L10_H10_0,0.10750158334020377,0.10750158334020377
AttMap_L0_H3_50,0.10527929688605714,0.10527929688605714
AttMap_L1_H8_50,0.1049546776940489,0.1049546776940489
AttMap_L2_H5_50,0.10449420020519452,0.10449420020519452
AttMap_L9_H6_204,0.10415608463526024,0.10415608463526024
AttMap_L10_H4_50,-0.10402833614794818,0.10402833614794818
AttMap_L8_H7_1,0.10236647554399728,0.10236647554399728
GAM_L8_H11_sparsity,0.10093350343528931,0.10093350343528931
AttMap_L9_H1_50,-0.09947946230197709,0.09947946230197709
AttMap_L7_H0_251,-0.0991902744565356,0.0991902744565356
AttMap_L7_H0_301,-0.09881245723865179,0.09881245723865179
AttMap_L8_H0_50,0.09815004674651819,0.09815004674651819
AttMap_L2_H3_50,0.09801159792544623,0.09801159792544623
AttMap_L2_H1_50,-0.09765717500809835,0.09765717500809835
AttMap_L2_H8_50,0.09675601007207794,0.09675601007207794
AttMap_L0_H11_52,0.09470049237348545,0.09470049237348545
AttMap_L6_H9_50,0.09467017041468959,0.09467017041468959
AttMap_L8_H10_52,-0.09460312160056429,0.09460312160056429
AttMap_L0_H9_51,0.09416819936593354,0.09416819936593354
AttMap_L2_H10_104,-0.09414221355314935,0.09414221355314935
AttMap_L2_H4_50,0.09386880544460229,0.09386880544460229
AttMap_L3_H5_101,0.09329387522445053,0.09329387522445053
AttMap_L0_H5_50,-0.0929378325623074,0.0929378325623074
GAM_L4_H2_sparsity,0.0900084108588005,0.0900084108588005
AttMap_L3_H6_153,0.08858617070933611,0.08858617070933611
GAM_L3_H2_sparsity,0.0868938010509931,0.0868938010509931
AttMap_L7_H0_151,-0.08638974466611915,0.08638974466611915
AttMap_L3_H5_100,-0.08638029228104198,0.08638029228104198
AttMap_L8_H4_151,0.08634251034186835,0.08634251034186835
AttMap_L10_H10_51,0.08597594356234517,0.08597594356234517
AttMap_L8_H2_256,0.08566893670218442,0.08566893670218442
AttMap_L10_H10_256,0.08150987054919293,0.08150987054919293
AttMap_L2_H10_50,-0.08146410893895618,0.08146410893895618
AttMap_L10_H10_50,-0.08090425167209922,0.08090425167209922
AttMap_L5_H7_53,-0.08050684826012285,0.08050684826012285
AttMap_L9_H6_50,0.07986752341568679,0.07986752341568679
AttMap_L6_H5_52,-0.07949486782976309,0.07949486782976309
Spec_L10_H10_cls,-0.07890998383048259,0.07890998383048259
AttMap_L5_H0_52,-0.07805837427484884,0.07805837427484884
AttMap_L3_H2_153,-0.07741243393440528,0.07741243393440528
GAM_L9_H7_focus_entropy,0.0772595436253007,0.0772595436253007
AttMap_L3_H0_100,-0.07681124172367376,0.07681124172367376
AttMap_L4_H3_51,0.07624477162788741,0.07624477162788741
AttMap_L9_H6_150,0.0759926003548642,0.0759926003548642
AttMap_L1_H4_101,0.07564467068157754,0.07564467068157754
AttMap_L1_H0_153,0.07518572044493041,0.07518572044493041
AttMap_L10_H6_51,0.07498194076841078,0.07498194076841078
AttMap_L8_H7_251,0.07418748386161748,0.07418748386161748
AttMap_L8_H5_358,0.07385533170206252,0.07385533170206252
AttMap_L7_H10_52,-0.07383132974796947,0.07383132974796947
AttMap_L0_H11_202,-0.07294077990213704,0.07294077990213704
AttMap_L5_H10_101,0.07293003153883999,0.07293003153883999
Spec_L7_H5_semantics,-0.07264980537752676,0.07264980537752676
AttMap_L9_H1_250,-0.0725427673237956,0.0725427673237956
AttMap_L7_H0_201,-0.0724752600038315,0.0724752600038315
AttMap_L9_H8_51,0.07237272593366177,0.07237272593366177
AttMap_L6_H1_151,0.07231931487024604,0.07231931487024604
AttMap_L6_H10_252,-0.07181447576884051,0.07181447576884051
AttMap_L1_H11_306,0.07180385943796895,0.07180385943796895
AttMap_L6_H9_100,0.07156015753178817,0.07156015753178817
AttMap_L2_H10_102,0.07155500301927474,0.07155500301927474
AttMap_L0_H3_101,0.07145463513937082,0.07145463513937082
AttMap_L10_H10_663,0.07143770651013853,0.07143770651013853
AttMap_L6_H6_256,0.07055984424831664,0.07055984424831664
AttMap_L6_H6_358,0.07047974386001384,0.07047974386001384
GAM_L6_H1_sparsity,0.0703610888260449,0.0703610888260449
AttMap_L10_H10_154,-0.07034778208934798,0.07034778208934798
AttMap_L2_H7_150,-0.07033104192108765,0.07033104192108765
AttMap_L10_H10_561,0.07019974914967045,0.07019974914967045
AttMap_L4_H10_251,0.06989407254997387,0.06989407254997387
AttMap_L3_H1_300,-0.0698454546932352,0.0698454546932352
AttMap_L5_H0_205,0.0697812760859527,0.0697812760859527
AttMap_L6_H9_405,0.06954503072857575,0.06954503072857575
GAM_L1_H3_confidence_max,0.06920220222098773,0.06920220222098773
AttMap_L6_H9_101,-0.06910655222667918,0.06910655222667918
GAM_L9_H4_sparsity,0.06895715873321813,0.06895715873321813
AttMap_L8_H7_152,0.06882171292627909,0.06882171292627909
AttMap_L1_H5_50,0.06870834238157454,0.06870834238157454
AttMap_L3_H10_50,0.0677036709089901,0.0677036709089901
AttMap_L1_H9_50,0.06707797988044692,0.06707797988044692
AttMap_L4_H4_52,0.0667483379778104,0.0667483379778104
AttMap_L3_H11_100,-0.06623349562453607,0.06623349562453607
AttMap_L4_H1_1,0.06616067182270852,0.06616067182270852
AttMap_L9_H1_350,-0.06594972507075869,0.06594972507075869
AttMap_L6_H4_151,0.06583784706322583,0.06583784706322583
Spec_L11_H8_syntax,0.06566297838856501,0.06566297838856501
AttMap_L2_H2_50,-0.06537216451616601,0.06537216451616601
AttMap_L3_H8_202,-0.06532806722194201,0.06532806722194201
AttMap_L10_H10_153,0.0652405673207161,0.0652405673207161
AttMap_L10_H10_250,-0.0652272668159316,0.0652272668159316
AttMap_L9_H1_400,-0.0651914820490572,0.0651914820490572
AttMap_L4_H5_52,-0.06499408778319442,0.06499408778319442
AttMap_L9_H6_100,0.06492368150926907,0.06492368150926907
AttMap_L9_H5_101,0.06479454281442107,0.06479454281442107
AttMap_L10_H6_50,-0.06470206392874948,0.06470206392874948
AttMap_L6_H9_150,0.06453415925171864,0.06453415925171864
AttMap_L1_H4_100,-0.06442884029154211,0.06442884029154211
AttMap_L7_H2_52,-0.06434256485800792,0.06434256485800792
AttMap_L4_H5_53,-0.06425032241293663,0.06425032241293663
AttMap_L8_H2_103,0.0638428156283447,0.0638428156283447
AttMap_L7_H1_256,0.06373211709868563,0.06373211709868563
AttMap_L6_H1_101,0.06370425337978469,0.06370425337978469
AttMap_L0_H9_200,0.06369181001348782,0.06369181001348782
AttMap_L8_H7_2,0.06352101018727013,0.06352101018727013
