Layer,Head,Total_Importance,Avg_Importance,Num_Features,Stable_Feature_Count
11,0,0.019418181818181827,0.0009246753246753252,21,5
3,1,0.007927272727272715,0.0003774891774891769,21,2
10,1,0.004727272727272702,0.00022510822510822393,21,2
11,2,0.003854545454545455,0.00018354978354978357,21,4
3,11,0.0018909090909090985,9.00432900432904e-05,21,2
0,3,0.0017454545454545388,8.31168831168828e-05,21,2
0,2,0.0010181818181818404,4.848484848484954e-05,21,3
8,2,0.0009454545454545493,4.502164502164521e-05,21,1
6,9,0.0007999999999999787,3.809523809523708e-05,21,2
8,8,0.000727272727272732,3.463203463203486e-05,21,1
9,9,0.0006545454545454521,3.116883116883105e-05,21,1
8,9,0.00043636363636364586,2.077922077922123e-05,21,1
5,4,0.00043636363636363474,2.0779220779220703e-05,21,1
5,0,0.00043636363636363474,2.0779220779220703e-05,21,1
6,7,0.00043636363636361257,2.0779220779219646e-05,21,2
2,3,0.0004363636363636125,2.0779220779219643e-05,21,1
7,7,0.00029090909090908614,1.3852813852813626e-05,21,1
3,6,0.0001454545454545486,6.926406926407077e-06,21,1
9,1,0.00014545454545453738,6.926406926406542e-06,21,2
5,5,0.0,0.0,21,1
5,2,0.0,0.0,21,1
9,6,-7.272727272729096e-05,-3.463203463204331e-06,21,1
2,5,-0.00021818181818181737,-1.0389610389610352e-05,21,1
7,8,-0.00021818181818181737,-1.0389610389610352e-05,21,1
4,5,-0.00021818181818181737,-1.0389610389610352e-05,21,1
9,10,-0.0002181818181818284,-1.0389610389610877e-05,21,1
5,11,-0.00029090909090907503,-1.3852813852813096e-05,21,1
9,3,-0.00029090909090908614,-1.3852813852813626e-05,21,1
2,7,-0.00029090909090908614,-1.3852813852813626e-05,21,1
3,7,-0.0002909090909090972,-1.3852813852814153e-05,21,1
3,8,-0.0002909090909090972,-1.3852813852814153e-05,21,1
6,10,-0.0002909090909090972,-1.3852813852814153e-05,21,1
10,4,-0.00029090909090910815,-1.3852813852814673e-05,21,4
11,7,-0.0002909090909091191,-1.3852813852815195e-05,21,3
5,3,-0.0003636363636363549,-1.7316017316016898e-05,21,1
4,6,-0.00036363636363636595,-1.7316017316017426e-05,21,2
6,0,-0.000363636363636366,-1.731601731601743e-05,21,1
4,1,-0.0005090909090908923,-2.4242424242423444e-05,21,2
4,10,-0.0005090909090909035,-2.4242424242423976e-05,21,1
4,8,-0.0005090909090909035,-2.4242424242423976e-05,21,1
6,1,-0.0005090909090909145,-2.42424242424245e-05,21,1
7,1,-0.0005090909090909145,-2.42424242424245e-05,21,1
3,0,-0.0005818181818181723,-2.7705627705627253e-05,21,1
4,9,-0.0005818181818181833,-2.7705627705627778e-05,21,1
0,0,-0.0006545454545454299,-3.1168831168829994e-05,21,4
1,9,-0.000654545454545441,-3.116883116883052e-05,21,1
9,2,-0.0006545454545454517,-3.116883116883103e-05,21,3
